continent,continentCode,country,countryCode,primaryHEX,primaryRGB,primaryHSL,primaryCSS,secondaryHEX,secondaryRGB,secondaryHSL,secondaryCSS,secondaryNotes
Asia,AS,Afghanistan,AFG,#000000/#be0000/#090/#ffffff,"rgb(0,0,0)/rgb(190,0,0)/rgb(0,153,0)/rgb(255,255,255)","hsl(0,0%,0%)/hsl(0,100%,37%)/hsl(120,100%,30%)/hsl(0,0%,100%)",black/firebrick/green/white,#035AB8,"rgb(3,90,184)","hsl(211,97%,37%)",darkcyan,Color used by the Afghanistan national cricket team.
Europe,EU,Aland Islands,ALA,#0052a6/#ffcf00/#d30731,"rgb(0,82,166)/rgb(255,207,0)/rgb(211,7,49)","hsl(210,100%,33%)/hsl(49,100%,50%)/hsl(348,94%,43%)",teal/gold/crimson,,,,,
Europe,EU,Albania,ALB,#e41e20/#000000,"rgb(228,30,32)/rgb(0,0,0)","hsl(359,79%,51%)/hsl(0,0%,0%)",crimson/black,,,,,
Africa,AF,Algeria,DZA,#006230/#d30731/#ffffff,"rgb(0,98,48)/rgb(211,7,49)/rgb(255,255,255)","hsl(149,100%,19%)/hsl(348,94%,43%)/hsl(0,0%,100%)",darkgreen/crimson/white,,,,,
Oceania,OC,American Samoa,ASM,#006/#be071c/#ffffff,"rgb(0,0,102)/rgb(190,7,28)/rgb(255,255,255)","hsl(240,100%,20%)/hsl(353,93%,39%)/hsl(0,0%,100%)",navy/firebrick/white,,,,,
Europe,EU,Andorra,AND,#0010a9/#fee000/#d10737,"rgb(0,16,169)/rgb(254,224,0)/rgb(209,7,55)","hsl(234,100%,33%)/hsl(53,100%,50%)/hsl(346,94%,42%)",darkblue/gold/crimson,,,,,
Africa,AF,Angola,AGO,#cd022b/#000000/#FC0,"rgb(205,2,43)/rgb(0,0,0)/rgb(255,204,0)","hsl(348,98%,41%)/hsl(0,0%,0%)/hsl(48,100%,50%)",crimson/black/gold,,,,,
North America,NA,Anguilla,AIA,#ff9900/#00ccff/#ffffff,"rgb(255,153,0)/rgb(0,204,0)/rgb(255,255,255)","hsl(36,100%,50%)/hsl(192,100%,50%)/hsl(0,0%,100%)",orange/deepskyblue/white,,,,,
Antarctica,AN,Antarctica,ATA,#01275e/#fffffffff,"rgb(1,39,94)/rgb(255,255,255)","hsl(215,98%,19%)/hsl(0,0%,100%)",midnightblue/white,#377ecf/#fffffffff,"rgb(55,126,207)/rgb(255,255,255)","hsl(212,61%,51%)/hsl(0,0%,100%)",royalblue/white,Colors from the Graham Bartram design.
Antarctica,AN,Australian Antarctic Claim,ATAAUS,#001C69/#ffffff,"rgb(0,28,105)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(0,0%,100%)",midnightblue/white,#92D4F7/#ffffff,"rgb(146,212,247)/rgb(255,255,255)","hsl(201,86%,77%)/hsl(0,0%,100%)",lightskyblue/white,Colors from the unofficially proposed flag for the territory.
Antarctica,AN,Argentinian Antarctic Claim,ATAARG,#fd9730/#1983dd/#ffffff,"rgb(253,151,48)/rgb(25,131,221)/rgb(255,255,255)","hsl(30,98%,59%)/hsl(208,80%,48%)/hsl(0,0%,100%)",coral/dodgerblue/white,,,,,
Antarctica,AN,Chilean Antarctic Claim,ATACHL,#00c/#fdcb00/#ffffff,"rgb(0,0,204/rgb(253,203,0)/rgb(255,255,255)","hsl(240,100%,40%)/hsl(48,100%,50%)/hsl(0,0%,100%)",mediumblue/gold/white,,,,,
Antarctica,AN,French Antarctic Claim,ATAFRA,#001e96/#ffffff,"rgb(0,30,150)/rgb(255,255,255)","hsl(228,100%,29%)/hsl(0,0%,100%)",darkblue/white,,,,,
Antarctica,AN,New Zealands Antarctic Claim,ATANZL,#001c69/#c9072a/#ffffff,"rgb(0,28,105)/rgb(201,7,42)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(349,93%,41%)/hsl(0,0%,100%)",midnightblue/crimson/white,#6699E5/#ffffff/#CE142B,"rgb(102,153,229)/rgb(255,255,255)/rgb(206,20,43)","hsl(216,71%,65%)/hsl(0,0%,100%)/hsl(353,82%,44%)",cornflowerblue/white/crimson,Colors from the unofficial flag of the Ross Dependancy.
Antarctica,AN,Norwegian Antarctic Claim,ATANOR,#f02729/#ffffff/#002468,"rgb(240,39,41)/rgb(255,255,255)/rgb(0,36,104)","hsl(359,87%,55%)/hsl(0,0%,100%)/hsl(219,100%,20%)",crimson/white/midnightblue,,,,,
Antarctica,AN,British Antarctic Claim,ATAGBR,#ffffff/#df0807/#001c69/#fff700,"rgb(255,255,255)/rgb(223,8,7)/rgb(0,28,105)/rgb(255,247,0)","hsl(0,0%,100%)/hsl(0,94%,45%)/hsl(224,100%,21%)/hsl(58,100%,50%)",white/red/midnightblue/yellow,,,,,
North America,NA,Antigua and Barbuda,ATG,#cf0921/#ffffff/#0072c7/#000000/#fcd20f,"rgb(207,9,33)/rgb(255,255,255)/rgb(0,114,199)/rgb(0,0,0)/rgb(252,210,15)","hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(206,100%,39%)/hsl(0,0%,0%)/hsl(49,98%,52%)",crimson/white/darkcyan/black/gold,,,,,
South America,SA,Argentina,ARG,#5eacff/#ffffff/#fac519,"rgb(94,172,255)/rgb(255,255,255)/rgb(250,197,25)","hsl(211,100%,68%)/hsl(0,0%,100%)/hsl(46,96%,54%)",cornflowerblue/white/gold,#006A93/#000000,"rgb(0,106,147)/rgb(0,0,0)","hsl(197,100%,29%)/hsl(0,0%,0%)",teal/black,Colors used in sports.
Asia,AS,Armenia,ARM,#da000a/#0030a1/#f2a900,"rgb(218,0,10)/rgb(0,48,161)/rgb(242,169,0)","hsl(357,100%,43%)/hsl(222,100%,32%)/hsl(42,100%,48%)",red/darkblue/orange,,,,,
North America,NA,Aruba,ABW,#ffd200/#3f90df/#ffffff/#f0303e,"rgb(255,210,0)/rgb(63,144,223)/rgb(255,255,255)/rgb(240,48,62)","hsl(49,100%,50%)/hsl(210,71%,56%)/hsl(0,0%,100%)/hsl(356,87%,57%)",gold/royalblue/white/crimson,#ffffff/#ae1c28/#21468b,"rgb(255,255,255)/rgb(174,28,40)/rgb(33,70,139)","hsl(0,0%,100%)/hsl(355,72%,40%)/hsl(219,62%,34%)",white/firebrick/darkslateblue,Colors used in the govenors standard.
Oceania,OC,Australia,AUS,#23b14d/#ffcc33,"rgb(35,177,77)/rgb(255,204,51)","hsl(138,67%,42%)/hsl(45,100%,60%)",seagreen/gold,#001c69/#ffffff,"rgb(0,28,105)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(0,0%,100%)",midnightblue/white,Colors from the Australian flag.
Europe,EU,Austria,AUT,#ee2536/#ffffff,"rgb(238,37,54)/rgb(255,255,255)","hsl(355,86%,54%)/hsl(0,0%,100%)",crimson/white,,,,,
Asia,AS,Azerbaijan,AZE,#00bbe5/#ee2536/#3d9d32,"rgb(0,187,229)/rgb(238,37,54)/rgb(61,157,50)","hsl(191,100%,45%)/hsl(355,86%,54%)/hsl(114,52%,41%)",deepskyblue/crimson/forestgreen,,,,,
North America,NA,Bahamas,BHS,#00778c/#ffc828/#000000,"rgb(0,119,140)/rgb(255,200,40)/rgb(0,0,0)","hsl(189,100%,28%)/hsl(45,100%,58%)/hsl(0,0%,0%)",teal/gold/black,,,,,
Asia,AS,Bahrain,BHR,#cf0921/#ffffff,"rgb(207,9,33)/rgb(255,255,255)","hsl(353,92%,42%)/hsl(0,0%,100%)",crimson/white,,,,,
Asia,AS,Bangladesh,BGD,#f42a41/#006a4e/#ff9900,"rgb(244,42,65)/rgb(0,106,78)/rgb(255,153,0)","hsl(353,90%,56%)/hsl(164,100%,21%)/hsl(36,100%,50%)",crimson/darkslategray/orange,#ffffff,"rgb(255,255,255)","hsl(0,0%,100%)",white,Color used in football.
North America,NA,Barbados,BRB,#002180/#ffc821/#000000,"rgb(0,33,128)/rgb(255,200,33)/rgb(0,0,0)","hsl(225,100%,25%)/hsl(45,100%,57%)/hsl(0,0%,0%)",midnightblue/gold/black,,,,,
Europe,EU,Belarus,BLR,#cf0f1a/#ffffff/#007d2d,"rgb(207,15,26)/rgb(255,255,255)/rgb(0,125,45)","hsl(357,87%,44%)/hsl(0,0%,100%)/hsl(142,100%,25%)",firebrick/white/forestgreen,#e2c226,"rgb(226,194,38)","hsl(50,76%,52%)",goldenrod,Color of the national insignia often used on the flag.
Europe,EU,Belgium,BEL,#000000/#fae140/#ee2536,"rgb(0,0,0)/rgb(250,225,64)/rgb(238,37,54)","hsl(0,0%,0%)/hsl(52,95%,62%)/hsl(355,86%,54%)",black/gold/crimson,#96e0f9/#fae140/#000000,"rgb(150,224,249)/rgb(250,225,64)/rgb(0,0,0)","hsl(195,89%,78%)/hsl(52,95%,62%)/hsl(0,0%,0%)",lightskyblue/gold/black,Colors used in cycling.
North America,NA,Belize,BLZ,#0f0f97/#da0712/#ffffff,"rgb(15,15,151)/rgb(218,7,18)/rgb(255,255,255)","hsl(240,82%,33%)/hsl(357,94%,44%)/hsl(0,0%,100%)",darkblue/red/white,#009dc4,"rgb(0,157,196)","hsl(192,100%,38%)",lightseagreen,Color used in sports.
Africa,AF,Benin,BEN,#008651/#fdd116/#e7112d,"rgb(0,134,81)/rgb(253,209,22)/rgb(231,17,45)","hsl(156,100%,26%)/hsl(49,98%,54%)/hsl(352,86%,49%)",seagreen/gold/crimson,,,,,
North America,NA,Bermuda,BMU,#c9072a/#001c69/#ffffff,"rgb(201,7,42)/rgb(0,28,105)/rgb(255,255,255)","hsl(349,93%,41%)/hsl(224,100%,21%)/hsl(0,0%,100%)",crimson/midnightblue/white,#00468c,"rgb(0,70,140)","hsl(210,100%,28%)",midnightblue,Color used in sports.
Asia,AS,Bhutan,BTN,#ff4d0a/#ffd61a/#ffffff,"rgb(255,77,10)/rgb(255,214,26)/rgb(255,255,255)","hsl(16,100%,52%)/hsl(49,100%,55%)/hsl(0,0%,100%)",orangered/gold/white,#9d0b0e,"rgb(157,11,14)","hsl(359,87%,33%)",darkred,Color used in football.
South America,SA,Bolivia,BOL,#d41a09/#f1e639/#007029,"rgb(212,26,9)/rgb(241,230,57)/rgb(0,112,41)","hsl(5,92%,43%)/hsl(56,87%,58%)/hsl(142,100%,22%)",firebrick/gold/darkgreen,#ffffff,"rgb(255,255,255)","hsl(0,0%,100%)",white,Color used in sports.
North America,NA,Bonaire,BES,#f9da07/#002688/#ffffff/#dd0f17,"rgb(249,218,7)/rgb(0,38,136)/rgb(255,255,255)/rgb(221,15,23)","hsl(52,95%,50%)/hsl(223,100%,27%)/hsl(0,0%,100%)/hsl(358,87%,46%)",gold/midnightblue/white/crimson,,,,,
Europe,EU,Bosnia and Herzegovina,BIH,#001e96/#edc109/#ffffff,"rgb(0,30,150)/rgb(237,193,9)/rgb(255,255,255)","hsl(228,100%,29%)/hsl(48,93%,48%)/hsl(0,0%,100%)",darkblue/gold/white,#ee161f/#3650a4/#ffffff,"rgb(238,22,31)/rgb(54,80,164)/rgb(255,255,255)","hsl(358,86%,51%)/hsl(226,51%,43%)/hsl(0,0%,100%)",crimson/darkslateblue/white,Colors of the flag of Republika Srpska.
Africa,AF,Botswana,BWA,#76a8db/#000000/#fcfcfc,"rgb(118,168,291)/rgb(0,0,0)/rgb(252,252,252)","hsl(210,58%,66%)/hsl(0,0%,0%)/hsl(0,0%,99%)",cornflowerblue/black/snow,,,,,
South America,SA,Bouvet Island,BVT,#f02729/#ffffff/#002468,"rgb(240,39,41)/rgb(255,255,255)/rgb(0,36,104)","hsl(359,87%,55%)/hsl(0,0%,100%)/hsl(219,100%,20%)",crimson/white/midnightblue,,,,,
South America,SA,Brazil,BRA,#009c37/#fee000,"rgb(0,156,55)/rgb(254,224,0)","hsl(141,100%,31%)/hsl(53,100%,50%)",forestgreen/gold,#002376/#ffffff,"rgb(0,35,118)/rgb(255,255,255)","hsl(222,100%,23%)/hsl(0,0%,100%)",midnightblue/white,Colors are secondary elements of the flag of Brazil.
Africa,AF,British Indian Ocean Territory,IOT,#001c69/#ffffff,"rgb(0,28,105)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(0,0%,100%)",midnightblue/white,,,,,
Asia,AS,Brunei,BRN,#f7e10f/#000000/#ffffff/#d00921,"rgb(247,225,15)/rgb(0,0,0)/rgb(255,255,255)/rgb(208,9,33)","hsl(54,94%,51%)/hsl(0,0%,0%)/hsl(0,0%,100%)/hsl(353,92%,43%)",gold/black/white/crimson,#048a41/#2e2e2e,"rgb(4,138,65)/rgb(46,46,46)","hsl(147,94%,28%)/hsl(0,0%,18%)",forestgreen/darkslategray,Colors used in football.
Europe,EU,Bulgaria,BGR,#ffffff/#00976e/#d7210a,"rgb(255,255,255)/rgb(0,151,110)/rgb(215,33,10)","hsl(0,0%,100%)/hsl(164,100%,30%)/hsl(7,91%,44%)",white/teal/firebrick,,,,,
Africa,AF,Burkina Faso,BFA,#ef2b2d/#009e49/#fed116,"rgb(239,43,45)/rgb(0,158,73)/rgb(254,209,22)","hsl(359,86%,55%)/hsl(148,100%,31%)/hsl(48,99%,54%)",crimson/seagreen/gold,,,,,
Africa,AF,Burundi,BDI,#cf0921/#ffffff/#18b737,"rgb(207,9,33)/rgb(255,255,255)/rgb(24,183,55)","hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(132,77%,41%)",crimson/white/limegreen,,,,,
Africa,AF,Cabo Verde,CPV,#013893/#ffffff/#ce1127/#ffc900,"rgb(1,56,147)/rgb(255,255,255)/rgb(206,17,39)/rgb(255,201,0)","hsl(217,99%,29%)/hsl(0,0%,100%)/hsl(353,85%,44%)/hsl(47,100%,50%)",midnightblue/white/crimson/gold,,,,,
Asia,AS,Cambodia,KHM,#e10020/#002aa2/#ffffff,"rgb(225,0,32)/rgb(0,42,162)/rgb(255,255,255)","hsl(351,100%,44%)/hsl(224,100%,32%)/hsl(0,0%,100%)",crimson/darkblue/white,#000000,"rgb(0,0,0)","hsl(0,0%,0%)",black,Color used in football.
Africa,AF,Cameroon,CMR,#007a5e/#ce1126/#fcd116,"rgb(0,122,94)/rgb(206,17,38)/rgb(252,209,22)","hsl(166,100%,24%)/hsl(353,85%,44%)/hsl(49,97%,54%)",teal/crimson/gold,,,,,
North America,NA,Canada,CAN,#db2516/#ffffff,"rgb(219,37,22)/rgb(255,255,255)","hsl(5,82%,47%)/hsl(0,0%,100%)",crimson/white,#000000,"rgb(0,0,0)","hsl(0,0%,0%)",black,Color used in sports.
North America,NA,Cayman Islands,CYM,#034fa1/#d00c27/#ffffff,"rgb(3,79,161)/rgb(208,12,39)/rgb(255,255,255)","hsl(211,96%,32%)/hsl(352,89%,43%)/hsl(0,0%,100%)",teal/crimson/white,,,,,
Africa,AF,Central African Republic,CAF,#08399c/#ffffff/#319400/#ffde00/#ef2900,"rgb(8,57,156)/rgb(255,255,255)/rgb(49,148,0)/rgb(255,222,0)/rgb(239,41,0)","hsl(220,90%,32%)/hsl(0,0%,100%)/hsl(100,100%,29%)/hsl(52,100%,50%)/hsl(10,100%,47%)",midnightblue/white/forestgreen/gold/orangered,,,,,
Africa,AF,Chad,TCD,#002b7f/#fcd116/#ce1126,"rgb(0,43,127)/rgb(252,209,22)/rgb(206,17,38)","hsl(220,100%,25%)/hsl(49,97%,54%)/hsl(353,85%,44%)",midnightblue/gold/crimson,,,,,
South America,SA,Chile,CHL,#d62718/#ffffff/#0036a7,"rgb(214,39,24)/rgb(255,255,255)/rgb(0,54,167)","hsl(5,80%,47%)/hsl(0,0%,100%)/hsl(221,100%,33%)",firebrick/white/darkblue,,,,,
Asia,AS,China,CHN,#df2507/#ffdf00,"rgb(223,37,7)/rgb(255,223,0)","hsl(8,94%,45%)/hsl(52,100%,50%)",orangered/gold,#391edb/#050608/#fcfffc,"rgb(57,30,219)/rgb(5,6,8)/rgb(252,255,252)","hsl(249,76%,49%)/hsl(220,23%,3%)/hsl(120,100%,99%)",mediumblue/black/white,Colors used in sports.
Oceania,OC,Christmas Island,CXR,#0021ad/#1c8a42/#ffc639/#ffffff,"rgb(0,33,173)/rgb(28,138,66)/rgb(255,198,57)/rgb(255,255,255)","hsl(229,100%,34%)/hsl(141,66%,33%)/hsl(43,100%,61%)/hsl(0,0%,100%)",mediumblue/seagreen/sandybrown/white,,,,,
Oceania,OC,Cocos Islands,CCK,#008100/#ffe100,"rgb(0,129,0)/rgb(255,225,0)","hsl(120,100%,25%)/hsl(53,100%,50%)",green/gold,,,,,
South America,SA,Colombia,COL,#fcd20f/#003594/#cf0921,"rgb(252,210,15)/rgb(0,53,148)/rgb(207,9,33)","hsl(49,98%,52%)/hsl(219,100%,29%)/hsl(353,92%,42%)",gold/midnightblue/crimson,#273785/#ffffff,"rgb(39,55,133)/rgb(255,255,255)","hsl(230,55%,34%)/hsl(0,0%,100%)",darkslateblue/white,Colors used in sports.
Africa,AF,Comoros,COM,#ffc718/#ffffff/#cf0921/#3775c5/3a8f30,"rgb(255,199,24)/rgb(255,255,255)/rgb(207,9,33)/rgb(55,117,197)/rgb(58,143,48)","hsl(45,100%,55%)/hsl(0,0%,100%)/hsl(353,92%,42%)/hsl(214,56%,49%)/hsl(114,50%,37%)",gold/white/crimson/steelblue/forestgreen,,,,,
Africa,AF,Democratic Congo,COG,#0080ff/#f7d710/#cf071c,"rgb(0,128,255)/rgb(247,215,16)/rgb(207,7,28)","hsl(210,100%,50%)/hsl(52,94%,52%)/hsl(354,94%,42%)",dodgerblue/gold/crimson,,,,,
Africa,AF,Congo,COD,#009641/#fbdf48/#dd1f19,"rgb(0,150,65)/rgb(251,223,72)/rgb(221,31,25)","hsl(146,100%,29%)/hsl(51,96%,63%)/hsl(2,80%,48%)",forestgreen/sandybrown/crimson,,,,,
Oceania,OC,Cook Islands,COK,#001c69/#ffffff,"rgb(0,28,105)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(0,0%,100%)",midnightblue/white,#005a00/#ffd700,"rgb(0,90,0)/rgb(255,215,0)","hsl(120,100%,18%)/hsl(51,100%,50%)",darkgreen/gold,Colors from the previous flag.
North America,NA,Costa Rica,CRI,#002780/#ffffff/#cf0921,"rgb(0,39,128)/rgb(255,255,255)/rgb(207,9,33)","hsl(222,100%,25%)/hsl(0,0%,100%)/hsl(353,92%,42%)",midnightblue/white/crimson,#000000,"rgb(0,0,0)","hsl(0,0%,0%)",black,Color used in sports.
Africa,AF,Ivory Coast,CIV,#f78000/#ffffff/#009f5f,"rgb(247,128,0)/rgb(255,255,255)/rgb(0,159,95)","hsl(31,100%,48%)/hsl(0,0%,100%)/hsl(156,100%,31%)",darkorange/white/teal,,,,,
Europe,EU,Croatia,HRV,#ff0000/#ffffff/#0f0f97,"rgb(255,0,0)/rgb(255,255,255)/rgb(15,15,151)","hsl(0,100%,50%)/hsl(0,0%,100%)/hsl(240,82%,33%)",red/white/darkblue,,,,,
North America,NA,Cuba,CUB,#002690/#ffffff/#d00c27,"rgb(0,38,144)/rgb(255,255,255)/rgb(208,12,39)","hsl(224,100%,28%)/hsl(0,0%,100%)/hsl(352,89%,43%)",darkblue/white/crimson,#0072bd/#ffffff,"rgb(0,114,189)/rgb(255,255,255)","hsl(204,100%,37%)/hsl(0,0%,100%)",darkcyan/white,Colors from the standard of the president of Cuba.
North America,NA,Curacao,CUW,#002780/#f9e90c/#ffffff,"rgb(0,39,128)/rgb(249,233,12)/rgb(255,255,255)","hsl(222,100%,25%)/hsl(56,95%,51%)/hsl(0,0%,100%)",midnightblue/gold/white,#ffffff/#ae1c28/#21468b,"rgb(255,255,255)/rgb(174,28,40)/rgb(33,70,139)","hsl(0,0%,100%)/hsl(355,72%,40%)/hsl(219,62%,34%)",white/firebrick/darkslateblue,Colors used in the govenors standard.
Asia,AS,Cyprus,CYP,#003f87/#ffffff,"rgb(0,63,135)/rgb(255,255,255)","hsl(212,100%,27%)/hsl(0,0%,100%)",midnightblue/white,#d67800/#4d5a2e,"rgb(214,120,0)/rgb(77,90,46)","hsl(34,100%,42%)/hsl(78,32%,27%)",chocolate/darkolivegreen,Colors from the presidential standard of Cyprus.
Europe,EU,Czechia,CZE,#ffffff/#d80c13/#08437f,"rgb(255,255,255)/rgb(216,12,19)/rgb(8,67,127)","hsl(0,0%,100%)/hsl(358,90%,45%)/hsl(210,88%,27%)",white/crimson/midnightblue,,,,,
Europe,EU,Denmark,DNK,#c7042d/#ffffff,"rgb(199,4,45)/rgb(255,255,255)","hsl(347,96%,40%)/hsl(0,0%,100%)",crimson/white,,,,,
Africa,AF,Djibouti,DJI,#6ab4e8/#09af27/#ffffff/#d80c13,"rgb(106,180,232)/rgb(9,175,39)/rgb(255,255,255)/rgb(216,12,19)","hsl(205,73%,66%)/hsl(131,90%,36%)/hsl(0,0%,100%)/hsl(358,90%,45%)",cornflowerblue/forestgreen/white/crimson,,,,,
North America,NA,Dominica,DMA,#006b3d/#fcd20f/#000000/#ffffff/#d5162d,"rgb(0,107,61)/rgb(252,210,15)/rgb(0,0,0)/rgb(255,255,255)/rgb(213,22,45)","hsl(154,100%,21%)/hsl(49,98%,52%)/hsl(0,0%,0%)/hsl(0,0%,100%)/hsl(353,81%,46%)",forestgreen/gold/black/white/crimson,#3c69e7,"rgb(60,105,231)","hsl(224,78%,57%)",royalblue,Color used in sports.
North America,NA,Dominican Republic,DOM,#002962/#ffffff/#cf0921,"rgb(0,41,98)/rgb(255,255,255)/rgb(207,9,33)","hsl(215,100%,19%)/hsl(0,0%,100%)/hsl(353,92%,42%)",midnightblue/white/crimson,,,,,
South America,SA,Ecuador,ECU,#ffde00/#004da3/#ee161f,"rgb(255,222,0)/rgb(0,77,163)/rgb(238,22,31)","hsl(52,100%,50%)/hsl(212,100%,32%)/hsl(358,86%,51%)",gold/teal/crimson,#93ccea,"rgb(147,204,234)","hsl(201,67%,75%)",skyblue,Color used in sports.
Africa,AF,Egypt,EGY,#cf0921/#ffffff/#000000,"rgb(207,9,33)/rgb(255,255,255)/rgb(0,0,0)","hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(0,0%,0%)",crimson/white/black,#efbb22,"rgb(239,187,34)","hsl(45,87%,54%)",goldenrod,Color often used for the insignia on flags.
North America,NA,El Salvador,SLV,#0045ac/#ffffff,"rgb(0,69,172)/rgb(255,255,255)","hsl(216,100%,34%)/hsl(0,0%,100%)",teal/white,,,,,
Europe,EU,England,ENG,#ffffff/#cf091f,"rgb(255,255,255)/rgb(207,9,31)","hsl(0,0%,100%)/hsl(353,92%,42%)",white/crimson,#2756ae,"rgb(39,86,174)","hsl(219,63%,42%)",steelblue,Color used in sports.
Africa,AF,Equatorial Guinea,GNQ,#3e9a00/#ffffff/#e32118/#0073ce,"rgb(62,154,0)/rgb(255,255,255)/rgb(227,33,24)/rgb(0,115,206)","hsl(96,100%,30%)/hsl(0,0%,100%)/hsl(3,81%,49%)/hsl(207,100%,40%)",forestgreen/white/crimson/dodgerblue,,,,,
Africa,AF,Eritrea,ERI,#4db241/#5191c5/#ef494d/#fdbc35,"rgb(77,178,65)/rgb(81,145,197)/rgb(239,73,77)/rgb(253,188,53)","hsl(114,47%,48%)/hsl(207,50%,55%)/hsl(359,84%,61%)/hsl(41,98%,60%)",limegreen/steelblue/tomato/goldenrod,,,,,
Europe,EU,Estonia,EST,#0072cf/#000000/#ffffff,"rgb(0,114,207)/rgb(0,0,0)/rgb(255,255,255)","hsl(207,100%,41%)/hsl(0,0%,0%)/hsl(0,0%,100%)",dodgerblue/black/white,,,,,
Africa,AF,Eswatini,SWZ,#3c5dbb/#ffda00/#b30404/#000000/#ffffff,"rgb(60,93,187)/rgb(255,218,0)/rgb(179,4,4)/rgb(0,0,0)/rgb(255,255,255)","hsl(224,51%,48%)/hsl(51,100%,50%)/hsl(0,96%,36%)/hsl(0,0%,0%)/hsl(0,0%,100%)",steelblue/gold/darkred/black/white,,,,,
Africa,AF,Ethiopia,ETH,#018a2d/#fcde02/#db0a13/#0645b1,"rgb(1,138,45)/rgb(252,222,2)/rgb(219,10,19)/rgb(6,69,177)","hsl(139,99%,27%)/hsl(53,98%,50%)/hsl(357,91%,45%)/hsl(218,93%,36%)",forestgreen/gold/red/mediumblue,,,,,
South America,SA,Falkland Islands,FLK,#001c69/#c9072a/#ffffff,"rgb(0,28,105)/rgb(201,7,42)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(349,93%,41%)/hsl(0,0%,100%)",midnightblue/crimson/white,#0072c5/#ffffff/#00501c/#de8c58/#fed03c,"rgb(0,114,197)/rgb(255,255,255)/rgb(0,80,28)/rgb(222,140,88)/rgb(254,208,60)","hsl(205,100%,39%)/hsl(0,0%,100%)/hsl(141,100%,16%)/hsl(23,67%,61%)/hsl(46,99%,62%)",darkcyan/white/darkgreen/peru/sandybrown,Colors from the insignia on the defaced blue ensign flag.
Europe,EU,Faroe Islands,FRO,#ffffff/#ee2536/#0065be,"rgb(255,255,255)/rgb(238,37,54)/rgb(0,101,190)","hsl(0,0%,100%)/hsl(355,86%,54%)/hsl(208,100%,37%)",white/crimson/darkcyan,,,,,
Oceania,OC,Fiji,FJI,#69b5e8,"rgb(105,181,232)","hsl(204,73%,66%)",cornflowerblue,#ffffff/#000000,"rgb(255,255,255)/rgb(0,0,0)","hsl(0,0%,100%)/hsl(0,0%,0%)",white/black,Colors used in sports.
Europe,EU,Finland,FIN,#ffffff/#003281,"rgb(255,255,255)/rgb(0,50,129)","hsl(0,0%,100%)/hsl(217,100%,25%)",white/midnightblue,#d30731/#ffc821,"rgb(211,7,49)/rgb(255,200,33)","hsl(348,94%,43%)/hsl(45,100%,57%)",crimson/gold,Colors from variant flag with insignia.
